PROPERTYID,NAME,ACRES,Shape_Length,Shape_Area
48,Albert Kelly Park,12.0861518,1439.25217016047,99517.6849965819
49,Alberta Park,16.40379728,1597.32013713448,135441.949786155
51,April Hill Park,10.12226537,1454.65078061007,83301.3446324204
52,Arbor Lodge Park,8.69146831,1089.42484380668,71783.7757439212
53,Argay Park,8.92825225,1172.20830159044,73684.9118506175
1221,Arnold Creek Natural Area,0.47920382,257.698701358767,3940.19717088123
1218,Beach Community Garden,0.41323248,243.665951494547,3411.00289037978
57,Berkeley Park,6.48069285,1149.63283740895,53338.1599646665
59,Berrydale Park,6.31196119,1110.44908297537,52025.33503882
63,Brentwood Park,14.0621681,1703.22803058973,115738.031860082
67,Brooklyn Park,2.39395533,568.976912357444,19720.5979635567
89,Buckman Community Garden,0.15972096,183.978381140972,1316.71840241565
892,Buckman Pool,0.10279165,136.06596660115,847.405839419489
97,Cathedral Park,21.85153978,2321.72306562795,180567.848270778
1,Cherry Blossom Park,0.95590541,364.318392911385,7877.34017944195
9,Clinton Community Garden,0.41879696,245.780334391293,3450.53498324151
10,Clinton Park,12.13807179,1664.3635320496,100004.928711752
12,Colonel Summers Park,5.99259115,1161.62383403572,49394.5265569061
17,Columbia Park,35.36862506,3121.65030013033,292176.861756391
20,Columbia Slough Trail,2.42885941,3241.17099318575,20063.207478267
21,Community Music Center,0.22957659,173.941216746721,1890.90848291326
22,Cottonwood Bay,0.83396951,470.998574533573,6867.85616259569
24,Council Crest Park,42.95008773,4093.56054448249,353811.635885783
25,Creston Park,14.38059242,1446.4046539539,118452.538814753
27,Crystal Springs Rhododendron Garden,9.4895708,1798.08055467727,78117.2195069903
31,A Park,6.32544288,1002.56536055709,52055.7042746126
33,Dawson Park,2.04897586,514.865778758345,16905.8135232082
37,DeNorval Unthank Park,4.56388879,780.741351121655,37665.5527816141
38,DeWitt Park,0.63585112,311.683551510451,5235.47595881164
39,Dickinson Park,18.66048415,2467.63163548305,153453.42377952
44,Duniway Park,14.02842719,2379.68688229439,115581.966162574
1109,East Holladay Park,5.72555851,940.465025797882,47218.8906637164
1255,Eastmoreland Garden,0.40774098,231.506521924437,3355.93755392352
106,Eastmoreland Golf Course,138.49698675,9780.26772281129,1139891.65279789
109,Eastmoreland Playground Park,0.24106565,194.715893020527,1983.56379647277
110,Eastridge Park,3.50400036,1075.9801517621,28830.5996168024
116,Essex Park,4.42980363,772.412293731922,36485.8897522371
117,Everett Community Garden,0.3687724,247.167453842719,3040.59974889575
1246,Exeter Property,0.27640536,445.316930756517,2284.58043886299
118,Fanno Creek Natural Area,7.3684285,2378.21312182937,60676.8348203631
119,Farragut Park,13.97689765,1459.03283308721,115467.505215004
122,Firehouse Theater,0.18365605,156.616719137824,1513.70643122391
123,Flavel Park,4.20265726,812.330382538468,34582.5593455636
126,Forest Heights Park,2.93417756,660.52247981977,24208.7987792209
129,Frank L Knight Property,0.55638579,347.213977249171,4585.94850820025
130,Frazer Park,3.81193474,782.439710850212,31436.5990537898
1217,Front and Curry Community Garden,0.22883452,178.009421223286,1885.00659906852
133,Fulton Park,8.70280447,1380.79831849261,71622.4325979045
136,Gabriel Park,89.67281512,4370.13773220224,738032.386513448
137,Gammans Park,1.65598386,488.485701325885,13678.2497543813
148,George Park,2.03029862,559.828608572131,16780.8479074763
152,Glenfair Park,4.73577406,875.198895282111,39046.1668232158
153,Glenhaven Park,14.39494979,1419.77464872869,118767.960013204
154,Glenwood Park,7.29987113,1004.2457531433,60081.7295133459
166,Governors Park,5.73845117,1165.73517843967,47285.5489835389
167,Grant Park,19.89936964,1991.64405021778,164161.291521675
170,Hamilton Park,10.48600884,1199.40359621126,86358.8135974909
171,Hancock Park,3.60022965,712.023928112472,29696.9925368949
172,Harbor View Property,2.84276092,1303.75751679715,23484.8822148585
173,Harney Park,6.50127548,926.058349091519,53487.5207949726
175,Harrison Park,4.63379391,837.432837422871,38184.7415811589
1237,Hazeltine Park,1.02336288,387.9283954531,8420.33538078434
178,Healy Heights Park,1.18481341,416.322914067406,9758.10911413956
179,Heritage Tree Park,0.09182782,121.671429323485,756.36854207656
180,Heron Lakes Golf Course,340.77409266,7381.16119227846,2817520.31416588
183,Hillsdale Park,5.17257219,1049.22402787183,42584.2599659995
185,Hillside Park,3.41395834,708.623577722784,28151.6042584675
186,Holladay Park,4.54037326,774.080854602101,37444.3135527844
1239,Holly Farm Park,1.70217091,496.257395945995,13996.6237552603
191,Interstate Firehouse Cultural Center,0.07557971,118.74750258492,623.982525592529
194,Ira Keller Fountain Park,0.91845932,348.016908984034,7569.70760256507
195,Irving Park,16.08345836,1458.99799354447,132715.738532566
197,Ivon Community Garden,0.19131046,159.493863950915,1576.26420790996
1140,Jamison Square,0.94114987,352.424187094036,7761.1559715918
900,Jefferson Street Property,1.60397239,551.38980401899,13219.6153920034
201,Jensen Natural Area,2.27899503,682.85819198422,18744.7541062225
202,John Luby Park,10.41684547,1210.89879100795,85934.7024607482
205,Johnson Creek Park,4.52188404,814.847925691703,37200.1397694974
207,Johnson Lake Property,15.19542127,1759.5670852168,125469.63484759
1291,Joseph Wood Hill Park,2.42129284,567.982233231158,19979.3077930243
213,Kenilworth Park,8.39543786,1117.68881159264,69141.1281846221
214,Kennedy Community Garden,0.35916834,245.461665014713,2965.52476467124
216,Kern Park,1.62426934,473.887097226582,13377.7559115329
901,Kerr Site,9.99885108,1159.73240709795,82195.7800472809
217,Dr Martin Luther King Jr School Park,2.63711314,674.962908602961,21768.4285260614
219,Kingsley Park,1.13233903,479.670170077932,9362.68867252115
221,Ladds Circle and Squares,1.62082846,969.501518510894,13356.5011618705
222,Lair Hill Park,3.26196067,684.768150813803,26873.8066921865
225,Laurelwood Park,0.42457582,299.72529907702,3496.46479648641
234,Lents Park,38.0716075,2428.36814403778,313496.893193136
236,Lesser Park,8.40079173,1080.05219276217,69055.8567061437
238,Lillis-Albina Park,3.92751087,917.337477211012,32401.0077717343
242,Lovejoy Fountain,1.10767268,398.00553440492,9128.06159159288
244,Verdell Burdine Rutherford Park,7.70275046,1167.70715677814,63481.1651391535
245,Lynchwood Park,8.45390335,1094.96371601609,69639.7949942993
248,Mallory Meadows Park,0.1794049,155.084660303691,1481.20377921459
249,Maricara Natural Area,17.25425883,1657.53304475394,141888.226295934
1117,Matt Dishman Community Center and Pool,1.61843812,539.190993160199,13352.5440117123
1258,McCoy Park,3.82282617,925.655996119699,31592.1183541392
259,McKenna Park,4.51985265,799.118212787756,37342.1606323636
261,Merrifield Park,0.95016375,355.306305465572,7838.0530879784
264,Midland Park,1.89507577,524.425902614969,15620.746695771
268,Montavilla Park,9.48043075,1201.17526255765,78176.6978689591
907,Moore Island,7.35814477,1304.43522973466,60820.6265051328
271,Mt Scott Park,11.21665004,1347.76877347491,92343.5783627313
275,Mt Tabor Park,176.04183231,6325.5592666339,1450839.35183922
294,Munger Property,14.81593238,3392.20804494367,122102.300318965
1257,N Willamette and Bryant,0.01336551,51.0596074160791,110.390439375955
402,NE Holman and 13th,0.13335805,145.259407713596,1101.24313437189
436,NE Sumner & 47th,0.35125622,230.869268298514,2899.74231744921
444,Normandale Park,13.69053148,1566.24503763507,112909.601854513
447,North Park Blocks,3.11287941,1748.00006031804,25666.7676198622
449,North Powellhurst Park,3.90412108,1522.82962228171,32178.0712150954
450,Maint Facility - 21st and Pacific,0.34435256,217.624323429209,2839.74380242519
451,Northgate Park,10.87195279,1268.11922427909,89848.2819789223
488,Darcelle XV Plaza,0.45976899,261.239818240489,3790.43912694186
492,Oaks Pioneer Church and Park,1.30979814,467.906251417844,10777.2535307517
495,Oregon Park,3.28797134,671.383842635049,27113.0693526893
496,Overlook House Community Center,1.24669682,476.90524463637,10288.5874625513
501,Parklane Park,25.60081026,1963.87152663347,211007.948348254
502,Patton Square Park,1.25741815,408.374486040167,10381.1199450262
503,Pendleton Park,5.20834686,867.921863094199,42877.3820384443
506,Peninsula Crossing Trail,9.07299481,4862.56387693269,74979.8273790085
507,Peninsula Park,16.33648881,1557.9830474045,134903.545189225
510,Peter Kerr Property,3.1143826,819.186600012973,25598.8980966146
511,Pettygrove Park,1.17302451,412.901934343871,9667.19395963705
512,Piccolo Park,0.57399635,304.414112463821,4729.30202708941
1236,Pier Community Garden,0.97955393,408.067427005023,8098.11884367836
513,Pier Park,84.9982279,7236.27967677276,702748.999761117
515,Pioneer Courthouse Square,0.91842199,348.047241142343,7571.03942262639
1128,Pittock Acres Park,54.93511225,3322.62725105261,452943.015030674
523,Portland Heights Park,5.08267483,906.801096870543,41877.6040553281
884,Portsmouth Community Garden,0.22935899,174.160477113598,1895.15573155064
527,Portsmouth Park,4.02505459,748.605461764671,33250.6310421085
530,Powell Park,8.09094019,1171.23737957673,66648.1751864154
531,Powers Marine Park,13.97325017,7079.61906409907,114963.726222951
561,Raymond Park,6.11476816,1165.14701839012,50349.9209547337
562,Red Tail Golf Course,163.7556315,5274.29912968418,1347096.32082838
565,Richmond Property,0.3024869,324.022941605103,2492.27137973769
1261,Rigler Community Garden,0.37413747,227.019978416337,3088.20488035428
570,Rose City Golf Course,144.26744704,5053.19079691632,1190140.64939014
573,Rose City Park,8.41060562,1681.05269098914,69380.5257683039
574,Roselawn Park,0.11979488,127.722363758246,988.995048336342
575,Rosemont Bluff Natural Area,2.16167166,780.293276400847,17827.3947429286
915,"Ross, Vernon Veterans Memorial",0.00109808,15.89264302849,9.05897814942475
1197,SW Dickinson and 62nd,0.21215128,165.616480102014,1744.52303139162
789,SW Talbot Property,0.04628693,106.301528577567,381.386601813037
800,SW Thomas and 53rd,2.81153454,605.900954211948,23157.0925872646
578,Sabin Community Garden,0.21589634,210.13389892164,1781.97588547104
580,Sacajawea Park,4.86048473,903.160935967535,40124.6587977601
663,Sellwood Community Center,0.22959943,173.856366025197,1889.12493608031
1230,Sellwood Community Garden,0.22957388,173.839407418345,1888.7539179122
666,Sellwood Park,16.64919961,1638.51481134569,137002.249344692
670,Sewallcrest Park,4.91857263,975.821921616843,40533.3828831507
1385,Elizabeth Caruthers Park,2.12259245,575.253447314183,17484.2924266837
675,Maint Facility - SE 136th and Holgate,0.70797609,329.873922544526,5828.59346049341
678,Spring Garden Park,4.56447506,806.826617371957,37553.2032021663
681,St Johns Park,5.87292322,1036.32148882512,48539.5164918798
682,St Johns Racquet Center,1.25033408,442.73751794793,10333.443216079
917,Stark Street Island,0.41101326,308.270491768604,3388.18778218979
714,Sumner-Albina Park,0.08151607,104.462414862693,672.956189325977
715,Sunnyside School Park,1.64795564,479.735945324032,13583.2711827782
1200,Sylvania Park,3.11831814,679.597372770275,25637.8204163391
1273,Tanner Springs Park,0.91827684,348.095092460889,7573.11650651779
811,Cottonwood Creek Natural Area,1.65543315,482.954482699159,13620.5386851658
1174,Thomas Cully Property,24.73067664,2065.9765986774,204195.14937258
814,Thompson Park,4.41664633,998.795868581815,36435.1676639599
920,Toe Island,0.46597091,420.532373764988,3836.31705559828
820,Trenton Park,2.29568063,610.201991256021,18970.4083773068
821,Tryon Creek Headwaters,2.53612231,756.344533732696,20864.2180905932
1010,Two Plum Park,0.34438862,261.03795783826,2842.34790131415
832,Ventura Park,7.17678327,1110.84312267537,59163.9627178202
839,Wallace Park,5.38277651,844.879416434735,44395.4765211224
1264,Washington High School Property,4.49960081,939.879852170149,37091.9384592671
844,Water and Gibbs Community Garden,0.26481069,222.473962058564,2181.47231950481
846,Wellington Park,3.96809213,731.613633376833,32750.4903873051
850,West Powellhurst Park,3.68263568,930.479722404707,30340.5883088937
921,Willamette Moorage,17.2427901,2288.63998234755,141889.91344961
862,Wilshire Park,14.29984545,1525.25626290485,118020.600285196
