OBJECTID,PROPERTYID,NAME,ACRES,Shape_Length,Shape_Area
1,48,Albert Kelly Park,12.0861518,1439.25217016047,99517.6849965819
2,49,Alberta Park,16.40379728,1597.32013713448,135441.949786155
3,51,April Hill Park,10.12226537,1454.65078061007,83301.3446324204
4,52,Arbor Lodge Park,8.69146831,1089.42484380668,71783.7757439212
5,53,Argay Park,8.92825225,1172.20830159044,73684.9118506175
6,1221,Arnold Creek Natural Area,0.47920382,257.698701358767,3940.19717088123
7,1218,Beach Community Garden,0.41323248,243.665951494547,3411.00289037978
8,57,Berkeley Park,6.48069285,1149.63283740895,53338.1599646665
9,59,Berrydale Park,6.31196119,1110.44908297537,52025.33503882
10,63,Brentwood Park,14.0621681,1703.22803058973,115738.031860082
11,67,Brooklyn Park,2.39395533,568.976912357444,19720.5979635567
12,89,Buckman Community Garden,0.15972096,183.978381140972,1316.71840241565
13,892,Buckman Pool,0.10279165,136.06596660115,847.405839419489
14,97,Cathedral Park,21.85153978,2321.72306562795,180567.848270778
15,1,Cherry Blossom Park,0.95590541,364.318392911385,7877.34017944195
16,9,Clinton Community Garden,0.41879696,245.780334391293,3450.53498324151
17,10,Clinton Park,12.13807179,1664.3635320496,100004.928711752
18,12,Colonel Summers Park,5.99259115,1161.62383403572,49394.5265569061
19,17,Columbia Park,35.36862506,3121.65030013033,292176.861756391
20,20,Columbia Slough Trail,2.42885941,3241.17099318575,20063.207478267
21,21,Community Music Center,0.22957659,173.941216746721,1890.90848291326
22,22,Cottonwood Bay,0.83396951,470.998574533573,6867.85616259569
23,24,Council Crest Park,42.95008773,4093.56054448249,353811.635885783
24,25,Creston Park,14.38059242,1446.4046539539,118452.538814753
25,27,Crystal Springs Rhododendron Garden,9.4895708,1798.08055467727,78117.2195069903
26,31,A Park,6.32544288,1002.56536055709,52055.7042746126
27,33,Dawson Park,2.04897586,514.865778758345,16905.8135232082
28,37,DeNorval Unthank Park,4.56388879,780.741351121655,37665.5527816141
29,38,DeWitt Park,0.63585112,311.683551510451,5235.47595881164
30,39,Dickinson Park,18.66048415,2467.63163548305,153453.42377952
31,44,Duniway Park,14.02842719,2379.68688229439,115581.966162574
32,1109,East Holladay Park,5.72555851,940.465025797882,47218.8906637164
33,1255,Eastmoreland Garden,0.40774098,231.506521924437,3355.93755392352
34,106,Eastmoreland Golf Course,138.49698675,9780.26772281129,1139891.65279789
35,109,Eastmoreland Playground Park,0.24106565,194.715893020527,1983.56379647277
36,110,Eastridge Park,3.50400036,1075.9801517621,28830.5996168024
37,116,Essex Park,4.42980363,772.412293731922,36485.8897522371
38,117,Everett Community Garden,0.3687724,247.167453842719,3040.59974889575
39,1246,Exeter Property,0.27640536,445.316930756517,2284.58043886299
40,118,Fanno Creek Natural Area,7.3684285,2378.21312182937,60676.8348203631
41,119,Farragut Park,13.97689765,1459.03283308721,115467.505215004
42,122,Firehouse Theater,0.18365605,156.616719137824,1513.70643122391
43,123,Flavel Park,4.20265726,812.330382538468,34582.5593455636
44,126,Forest Heights Park,2.93417756,660.52247981977,24208.7987792209
45,129,Frank L Knight Property,0.55638579,347.213977249171,4585.94850820025
46,130,Frazer Park,3.81193474,782.439710850212,31436.5990537898
47,1217,Front and Curry Community Garden,0.22883452,178.009421223286,1885.00659906852
48,133,Fulton Park,8.70280447,1380.79831849261,71622.4325979045
49,136,Gabriel Park,89.67281512,4370.13773220224,738032.386513448
50,137,Gammans Park,1.65598386,488.485701325885,13678.2497543813
51,148,George Park,2.03029862,559.828608572131,16780.8479074763
52,152,Glenfair Park,4.73577406,875.198895282111,39046.1668232158
53,153,Glenhaven Park,14.39494979,1419.77464872869,118767.960013204
54,154,Glenwood Park,7.29987113,1004.2457531433,60081.7295133459
55,166,Governors Park,5.73845117,1165.73517843967,47285.5489835389
56,167,Grant Park,19.89936964,1991.64405021778,164161.291521675
57,170,Hamilton Park,10.48600884,1199.40359621126,86358.8135974909
58,171,Hancock Park,3.60022965,712.023928112472,29696.9925368949
59,172,Harbor View Property,2.84276092,1303.75751679715,23484.8822148585
60,173,Harney Park,6.50127548,926.058349091519,53487.5207949726
61,175,Harrison Park,4.63379391,837.432837422871,38184.7415811589
62,1237,Hazeltine Park,1.02336288,387.9283954531,8420.33538078434
63,178,Healy Heights Park,1.18481341,416.322914067406,9758.10911413956
64,179,Heritage Tree Park,0.09182782,121.671429323485,756.36854207656
65,180,Heron Lakes Golf Course,340.77409266,7381.16119227846,2817520.31416588
66,183,Hillsdale Park,5.17257219,1049.22402787183,42584.2599659995
67,185,Hillside Park,3.41395834,708.623577722784,28151.6042584675
68,186,Holladay Park,4.54037326,774.080854602101,37444.3135527844
69,1239,Holly Farm Park,1.70217091,496.257395945995,13996.6237552603
70,191,Interstate Firehouse Cultural Center,0.07557971,118.74750258492,623.982525592529
71,194,Ira Keller Fountain Park,0.91845932,348.016908984034,7569.70760256507
